título,descripción,fecha
"Evento: Comunidad ","Vacaciones verano 2025/2026 (receso verano)","26-01-2026"
"Evento: Estudiante Término","PAE: Programa Académico Estudiantil 2025","23-01-2026"
"Evento: Profesor ","EDDA: Plazo profesores envíen eventuales apelaciones a evaluación de actividades 2025","23-01-2026"
"Evento: Profesor ","EDDA: Plazo para que los Directores de Departamento ingresen en la plataforma EDDA evaluación de actividades realizado en 2025","14-01-2026"
"Evento: Comunidad ","Ceremonia de Titulación Estudiantes pregrado Sede Concepción","13-01-2026"
"Evento: Comunidad ","Día del Funcionario 2026","09-01-2026"
"Evento: Estudiante Término","Proceso Impedimentos Académicos 2025‑2 (Estudiantes pregrado vespertino)","09-01-2026"
"Evento: Estudiante Inicio","Proceso Impedimentos Académicos 2025‑2 (Estudiantes pregrado vespertino)","05-01-2026"
"Evento: Comunidad ","Suspensión de actividades académicas y administrativas, excepto aquellos servicios que deban mantenerse.","02-01-2026"
"Evento: Comunidad ","Suspensión de actividades académicas y administrativas desde 12:00 hrs. en adelante.","31-12-2025"
"Evento: Estudiante Término","Término del plazo de presentación de solicitudes en el 2º semestre académico para ser considerado Estudiante ausente (retiro temporal o congelamiento); retirarse definitivamente de la Universidad sin llevar notas (Estudiantes pregrado vespertino régimen semestral).","26-12-2025"
"Evento: Estudiante Inicio","Término del plazo de presentación de solicitudes en el 2º semestre académico para ser considerado Estudiante ausente (retiro temporal o congelamiento); retirarse definitivamente de la Universidad sin llevar notas (Estudiantes pregrado vespertino régimen semestral).","26-12-2025"
"Evento: Comunidad ","Suspensión de actividades académicas y administrativas, excepto aquellos servicios que deban mantenerse.","26-12-2025"
"Evento: Estudiante Inicio","Plazo profesores ingresen en plataforma SIGA notas finales en asignaturas 2025‑2 para carreras régimen vespertino (semestral).","26-12-2025"
"Evento: Comunidad ","Suspensión de actividades académicas y administrativas, excepto aquellos servicios que deban mantenerse.","24-12-2025"
"Evento: Comunidad ","Término de Clases Segundo Semestre 2025 para Carreras de Pregrado Jornada Vespertina (Régimen Semestral).","23-12-2025"
"Evento: Comunidad ","Ceremonia Romería Fallecimiento Federico Santa María","20-12-2025"
"Evento: Comunidad ","Ceremonia de Graduación Estudiantes Postgrados.","20-12-2025"
"Evento: Profesor ","EDDA: Plazo para que los profesores ingresen en la plataforma EDDA el informe de actividades realizado en 2025.","19-12-2025"
"Evento: Estudiante Término","Proceso Impedimentos Académicos 2025‑2 (Estudiantes pregrado diurno)","18-12-2025"
"Evento: Comunidad ","Ceremonia de Titulación Estudiantes pregrado Campus Casa Central Valparaíso.","18-12-2025"
"Evento: Estudiante Inicio","Proceso Impedimentos Académicos 2025‑2 (Estudiantes pregrado diurno)","16-12-2025"
"Evento: Estudiante Inicio","PAE: Programa Académico Estudiantil 2025","15-12-2025"
"Evento: Profesor Término","Programación Académica 2026‑1","28-11-2025"
"Evento: Comunidad ","Ceremonia de distinción a Estudiantes por participación en actividades extraprogramáticas","20-11-2025"
"Evento: Comunidad ","Elecciones Presidenciales y Parlamentarias","16-11-2025"
"Evento: Profesor ","Dirección de Estudios, Dirección de Postgrado y Dirección Académica entrega lista de Titulados/Graduados a Secretaría General.","14-11-2025"
"Evento: Comunidad Término","Término de Clases Segundo Semestre 2025 para Carreras de Pregrado Diurno y Programas de Postgrado Científico‑Tecnológico.","05-12-2025"
"Evento: Profesor Inicio","Plazo profesores ingresen en plataforma SIGA notas finales en asignaturas 2025‑2 para carreras régimen diurno y programas de postgrado profesionales y científicos.","05-12-2025"
"Evento: Comunidad ","Segunda Vuelta Presidencial","14-12-2025"
"Evento: Comunidad Término","Ceremonia de Titulación Estudiantes pregrado Sede Viña del Mar","10-10-2025"
